0,-2,0
1.73205,-2,1
0,-2,2
0,-2,0
1.73205,-2,-1
1.73205,-2,1
0,-2,0
-1.74846e-07,-2,-2
1.73205,-2,-1
0,-2,0
-1.73205,-2,-1
-1.74846e-07,-2,-2
0,-2,0
-1.73205,-2,1
-1.73205,-2,-1
0,-2,0
-6.03983e-07,-2,2
-1.73205,-2,1
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
0,2,2
1.73205,2,1
0,2.66667,1
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
1.68294,2,1.0806
1.7773,2,-0.917168
0,2.66667,-0.917168
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
1.81859,2,-0.832294
0.18851,2,-1.9911
0,2.66667,-1.9911
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
0.28224,2,-1.97998
-1.5736,2,-1.23442
-0,2.66667,-1.23442
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
-1.5136,2,-1.30729
-1.88895,2,0.657176
-0,2.66667,0.657176
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
-1.91785,2,0.567324
-0.467607,2,1.94457
-0,2.66667,1.94457
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
0,2.66667,0
0,2.66667,0
-1.73205,3.33333,0
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
0,2.66667,0
0,2.66667,-0
-1.7773,3.33333,-0
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
0,2.66667,-0
0,2.66667,-0
-0.18851,3.33333,-0
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
0,2.66667,-0
-0,2.66667,-0
1.5736,3.33333,-0
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
-0,2.66667,-0
-0,2.66667,0
1.88895,3.33333,0
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
-0,2.66667,0
-0,2.66667,0
0.467607,3.33333,0
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
-0,3.33333,-2
-1.73205,3.33333,-1
-3.4641,4,-1
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
-1.68294,3.33333,-1.0806
-1.7773,3.33333,0.917168
-3.5546,4,0.917168
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
-1.81859,3.33333,0.832294
-0.18851,3.33333,1.9911
-0.37702,4,1.9911
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
-0.28224,3.33333,1.97998
1.5736,3.33333,1.23442
3.14719,4,1.23442
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
1.5136,3.33333,1.30729
1.88895,3.33333,-0.657176
3.77789,4,-0.657176
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
1.91785,3.33333,-0.567324
0.467607,3.33333,-1.94457
0.935215,4,-1.94457
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
-0,4,-4
-3.4641,4,-2
-5.19615,4.66667,-2
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
-3.36588,4,-2.16121
-3.5546,4,1.83434
-5.33191,4.66667,1.83434
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
-3.63719,4,1.66459
-0.37702,4,3.98219
-0.56553,4.66667,3.98219
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
-0.56448,4,3.95997
3.14719,4,2.46884
4.72079,4.66667,2.46884
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
3.02721,4,2.61457
3.77789,4,-1.31435
5.66684,4.66667,-1.31435
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
3.8357,4,-1.13465
0.935215,4,-3.88914
1.40282,4.66667,-3.88914
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
-0,4.66667,-6
-5.19615,4.66667,-3
-6.9282,5.33333,-3
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
-5.04883,4.66667,-3.24181
-5.33191,4.66667,2.7515
-7.10921,5.33333,2.7515
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
-5.45578,4.66667,2.49688
-0.56553,4.66667,5.97329
-0.75404,5.33333,5.97329
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
-0.84672,4.66667,5.93995
4.72079,4.66667,3.70326
6.29439,5.33333,3.70326
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
4.54081,4.66667,3.92186
5.66684,4.66667,-1.97153
7.55579,5.33333,-1.97153
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
5.75355,4.66667,-1.70197
1.40282,4.66667,-5.8337
1.87043,5.33333,-5.8337
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
-0,5.33333,-8
-6.9282,5.33333,-4
-8.66025,6,-4
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
-6.73177,5.33333,-4.32242
-7.10921,5.33333,3.66867
-8.88651,6,3.66867
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
-7.27438,5.33333,3.32917
-0.75404,5.33333,7.96438
-0.94255,6,7.96438
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
-1.12896,5.33333,7.91994
6.29439,5.33333,4.93768
7.86799,6,4.93768
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
6.05442,5.33333,5.22915
7.55579,5.33333,-2.62871
9.44473,6,-2.62871
0,-2,0
1.73205,-2,1
-6.03983e-07,-2,2
7.67139,5.33333,-2.2693
1.87043,5.33333,-7.77827
2.33804,6,-7.77827
